coaster,park,opened
Alpen Blizzard,Alpen Park,2012-04-28
Aventura,Safari Park,2016
Bat Hatari: Perseguição em Gotham City,Hopi Hari,1999
Boitata,Fun Park Via Norte,2015
Boomerang,Fantasilandia,1996
Boomerang,Parque de la Costa,1998
Bruco,Parque Trombini,2011 - 2013
Brucomela,Big Center Park,2004 - 2007
Brucomela,Park Trombini,≤ 2003
Brucomela,Cidade da Criança,2006 - 2012
Brucomela,Park Aquarium,2011
Brucomela,Kitakas Diversões,2002 - 2009
Búfalo,Parque Shanghai,2013-04
Colossu's Loop,Nova Nicolândi,2008
Crazy Rollercoaster,Buffet Iupiii,2014
Cuyloco,Granja Villa,2018-01-02
Cyclone,Mirage Park,2015-12
Desafío,Parque de la Costa,1999
Dino,Dunas,2006 - 2009
Dino Coaster,T-Rex Park Campinas,2018-01-25
Doble Loop,Salitre Magico,2004-07-12
Dragao,Walter World,1998
Dragão,Mirabilandia,2005
Dragão,Parque Shanghai,2011 - 2012
Dragon,Playland Salvador,1993
Dragon,Playcenter Family,2002
Dragón,Neverland Park,1996
Dragon,Playland Osasco,2009
Dragon,Parks and Games,2006
Dragon Coaster,Argenpark,2018
Dum-Dum,Beto Carrero World,2007-04
Family Coaster,Future Park,2014
Firewhip,Beto Carrero World,2008-12-28
Guayakill Ride,Safari Extreme,2018
Gusanito,Chicolandia,≤ 2003
Gusanito,Coney Park,≤ 2004-03-18
Gusanito,Diverticenter,≤ 2011
Gusanito,Parque Zonal Huayna Cápac,2010 - 2011
Gusanito,Rancho Aventura Park,≤ 2009
Gusanito,Diverticenter,2006 - 2009
Gusanito,Parque Bimbolandia,≤ 2002
Gusanito,Parque Zoológico Huachipa,2008 - 2009
Gusanito,Bimbolandia Park,2010 - 2012
Gusanito,Dito Park,2018
Gusanito Manzana,Rincón de los Niños,≤ 2000
Gusanito Manzana,International Park,≤ 2008
Gusano,Parque Italo Americano,
Gusano,Diverland,2012
Gusano Loco,Salitre Magico,≤ 2001-04-01
Gusano Manzana,Super Park,2017
Happy Mountain,Mampato,≤ 2006
Happy Mountain,Nova Nicolândi,2005
Inversa,Ácqua Lokos,2014-01-21
Jet Star,Spasso Splash,≤ 2009
Katapul,Hopi Hari,1999
Kráter,Parque Del Café,2014-12-19
Ligeirinho,Tivoli Park,2020
Looping Star,Big Center Park,2004 - 2007
Looping Star,Tivoli Park,2020
Mad Montanha,Ácqua Lokos,2003-12-27
Magic Bee,Cidade da Criança,2017-07
Magic Bee,Tivoli Park,2020-10-12
Magic Loop,Aventura Luna Park,≤ 2003
Magic Loop,Parque De Diversiones,2016
Magic Mountain Falls,The Falls,≤ 2011
Magic Tornado,Magic Games,≤ 2010
