coaster,park,opened,closed
Aconcagua,Parque de la Ciudad,1983-02,2003-11-10
Alpen Blitz,Parque de la Ciudad,1983-04,2003-11-10
Alpen Blitz,Playcenter São Paulo,1989-10,1996
Blue Fire,Parque Norte,≤ 2005,2012 - 2014
Boomerang,Playcenter São Paulo,1997,2012-04-01
Brucomela,Mirabilandia,,2008-12
Bufallo Bill,American Park,1997-09,1999
Búfalo,Parque Shanghai,1990s,≤ 2012
Ciclone,Playcenter,1970 - 1973,1970 - 1973
Colossus,Playcenter São Paulo,≤ 1981,1986
Corkscrew,Ital Park,1980-07-08,1990-11-11
Cyclon,Fantasilandia,1994,2004-12
Dino Coaster,T-Rex Park Campinas,,
Dragão,Parque Shanghai,1990s,2011 - 2012
Dragão,Tamina Park,1993,2008
Dragon,HotZone,1991,2003-03-09
Dragon,Playland Eldorado,,2004
Dragon,Playcenter São Paulo,2003,2009-07
Dragon,HotZone,≤ 2006,≤ 2012
Dragón,Plaza de Juegos,2007 - 2008,2014
Ferrovia Madeira Mamoré,Cidade da Criança,,2006
Galaxy,Fantasilandia,1978-10,2013-02-18
Gold mine coaster,Fantasiland,2004 - 2013,2015 - 2020
Gusanito,Coney Park,≤ 2008,≤ 2017
Gusanito,Coney Park,2007 - 2010,2012
Gusanito,Tierra Diversión,≤ 2014,2018
Gusanito,Coney Park,2016 - 2017,≤ 2020
Gusano,Lunapark,,≤ 2007
Gusano,Interpark,≤ 2005,2017
Happy Mountain,Terra Encantada,2001-12,2002-02-17
Happy Mountain,Playcenter São Paulo,2005,2011-05
Happy Mountain,Playcity,,≤ 2004-02-28
Hurricane,Center Norte,2000,2007-04-08
Jacare,Zoo Safári,1971 - 1984,1984 - 2000
Jetline,Tivoli Park,,≤ 1973
Jet Star,Parque de la Ciudad,,
Jet Star,Play Land Park,2002 - 2003,2004 - 2008
Jet Star,Aventura Park,2009,2011-01
Krákaton,VulQano Park,2005-02-07,2020
Loco Ratón,Coney Island Park,1957,≤ 1963
Looping,Magic Park,1999-12-12,2005
Looping Star,Mirabilandia,1997,2012
Looping Star,Playcenter São Paulo,,2012-07-29
Looping Star,Park do Gorilão,,
Looping Star,Ita Park,2016-09-07,2018
Looping the Loop,Parque Japonés,≥ 1911,≤ 1930
Magic Bee,Nova Nicolândi,2007,2008
Magic Loop,Interpark,2006 - 2007,2016 - 2017
Magma,VulQano Park,2005-02-07,2020
Manzanita,Cosmica Games,2005 - 2010,2014
Minhocão,Cidade da Criança,,2006
Mini Montanha Russa,Pilar Park,2005,2016
Mini Roller Coaster,Happy City,2007-06,2010-05
Montaña Dragon,Mampato,2005 - 2006,2016
Montaña Loco,Parque de Ferias San Jacinto,2013,2017
Montaña Mágica,Montaña Mágica,≤ 2008,≥ 2009
Montana Rusa,Camelot Park,1998,≤ 2008
Montana Rusa,Salitre Magico,,≤ 2000
Montaña Rusa,Parque Italo Americano,≤ 2001,2010
Montaña Rusa,Aventura Center,1988 - 2003,≤ 2007
Montaña Rusa,Mampato,≤ 2004,2004
Montana Rusa,Juegos del Parque Rodó,1993,2013
Montaña Rusa,Parque Norte,≤ 2005,2017
Montaña Rusa,Acuaparque de la Caña,≤ 2000,2018
Montaña Rusa,Aventura Center,2009 - 2012,2015
Montaña Rusa,Buin Park,2008 - 2009,2016
Montaña Rusa Infantil,Parque de la Ciudad,1982-12,2008-03
Montanha Espacial,Tivoli Park,1983-02-19,1995-12-17
Montanha Espacial,Luna Park,,
Montanha Russa,Fantasy Place,1995,2004
Montanha Russa,Parque Trombini,,2007
Montanha Russa,Parque de Diversões Marisa,1996,2013
Montanha Russa,Mirabilandia,1994-07-19,1998
Montanha Russa,American Park,1997-09,1999
Montanha Russa,Parque Shanghai,,
Montanha Russa,Parque Shanghai,1947,1962-02-27
Montanha Russa,Cakky Balaco,≤ 2009,2013-03
Montanha Russa,Collors,≤ 2009,2012
Montanha Russa,Parque Guaíba,2011,2012
Montanha Russa,Aquarela Kids,≤ 2011,2011
Montanha Russa,Parc Magique,2011,2013 - 2017
Montanha Russa,Mirage Park,,
Montanha Russa,Buffet Mediterraneo - Unidade Araci,2008,≤ 2012
Montanha Russa,Parque Shanghai,1938-10,1947
Montanha Russa,Parque dos Paturis,2016,2018
Monte Aurora,Terra Encantada,1999,2010-06
Monte Makaya,Terra Encantada,1998-01-16,2010-06
Piuí,Terra Encantada,1998-01-16,2010-06
Queen Bee,Center Norte,1999,2007-04-08
Scooby Doo,Discovery Baños,≤ 2017,2020 - 2021
Speed Mouse,Ita Park,2016-09-07,2018
Super 8,Ital Park,1960s,1970s
Super 8,Ital Park,1970s,1990
Super 8 Volante,Ital Park,1971-09-23,1990-11-11
Super Dragon,Republica de los Niños,2012 - 2014,2015
Super Jet,Playcenter São Paulo,1973,1996
Super Montaña Rusa Infantil,Parque de la Ciudad,1983-02,2003-11-10
Thunderbolt,Ital Park,1960s,1970s
Tornado,Playcenter São Paulo,1982,2001
Tornado,Parks and Games,1998,2004
Tornado,Salitre Magico,2010,2017
Tornado,Parque Guaíba,≤ 2008,2014-12
Tornado,Interpark,≤ 2004,2009 - 2010
Tren Búfalo,Puerto Aventura,2004,2006
Tren Búfalo,Parque Hollywood,,
Tren Minero,Sacoa Center,1996,2007
Tren Minero,Coney Park,2012 - 2013,2013 - 2014
Tren Minero,Coney Park,2006 - 2013,2013 - 2014
Tren Panoramico,Parque Japonés,≥ 1911,≤ 1930
Trenzinho,Parque Guaíba,≤ 2002,2012
Truck Race,VulQano Park,2006 - 2010,2018 - 2019
Wacky Worm,Aventura Park,≤ 2008,2009
Wacky Worm,Aventura Park,2009,2009 - 2011
Wacky Worm,Play Land Park,2002 - 2003,2004 - 2008
Wacky Worm,Play Land Park,2009 - 2011,2019 - 2020
Wild Cat,Parque de la Ciudad,1982-12,2003-11-10
Windstorm,Playcenter São Paulo,2005-08-06,2012-02-26
World Express,Parque de Atracciones de Plaza Mayor,≤ 2003,2011 - 2012
Yahoo! Mountain,Yahoo! Park,≤ 2003-06-13,2010 - 2011
Zyklon,Tivoli Park,,1995-12-17
unknown,Playland Praia de Belas,1993,≤ 1999
unknown,Dinotropolis,1996-07,2004 - 2014
unknown,Villalandia,2002,2007
unknown,Aventura Center,≤ 2009,≥ 2009
unknown,Neverland Park,2000 - 2003,≤ 2011
unknown,Parque Shanghai,,1990s
unknown,Playcity,,≤ 2004-02-28
unknown,Beto Carrero World,,
unknown,Villalandia,≤ 2007,≤ 2010
unknown,Castelinho Kids Buffet,2011,2011 - 2013
unknown,Aventura Luna Park,≤ 2003,2008 - 2010
unknown,Parque de Ferias San Jacinto,≤ 2007,2012
unknown,Hopi Hari,,
unknown,Parque de Diversiones La Cascada,≤ 2008,2013
unknown,Beto Carrero World,,
unknown,Parque de Diversiones la Monumental,2004 - 2005,2013
unknown,Parque de Atracciones Orinoco,≤ 2006,2011 - 2014
