coaster,park,opened
Black Diamond,Knoebels Amusement Resort,2011-10-08
Blue Streak,Conneaut Lake Park,1938-07-04
Candymonium,Hersheypark,2020-07-03
Cocoa Cruiser,Hersheypark,2014-05-10
Comet,Hersheypark,1946-05-30
Comet,Waldameer,1951
Crazy Mouse,DelGrosso's Amusement Park,2004
Cyclone,Williams Grove Amusement Park,1933
Exterminator,Kennywood,1999-04-18
Fahrenheit,Hersheypark,2008-05-24
Fiesta Express,Fun Fore All Family Entertainment Center,2003-08
Flying Turns,Knoebels Amusement Resort,2013-10-05
Great Bear,Hersheypark,1998-05-23
Hydra the Revenge,Dorney Park & Wildwater Kingdom,2005-05-07
Impulse,Knoebels Amusement Resort,2015-04-25
Jack Rabbit,Kennywood,1920
Joust,Dutch Wonderland,1998-05-23
Kingdom Coaster,Dutch Wonderland,1992
Kozmo's Kurves,Knoebels Amusement Resort,2009-08-01
Laff Trakk,Hersheypark,2015-05-23
Leap The Dips,Lakemont Park,1902-06-02
Lightning Racer,Hersheypark,2000-05-13
Lil'Leaper,Lakemont Park,2019-05-25
Lil' Phantom,Kennywood,1996
Little Dipper,Conneaut Lake Park,1950
Little Stingray,Bushkill Park,2019-07
Merlin's Mayhem,Dutch Wonderland,2018-04-28
Mountain Coaster,Camelback Mountain Adventures,2012
Oscar's Wacky Taxi,Sesame Place,2018-05-26
Phantom's Revenge,Kennywood,1991
Phoenix,Knoebels Amusement Resort,1985-06-15
Possessed,Dorney Park & Wildwater Kingdom,2008-05
Racer,Kennywood,1927
Ravine Flyer 3,Waldameer,2000
Ravine Flyer II,Waldameer,2008-05-17
Rollo Coaster,Idlewild & SoakZone,1938
Sidewinder,Hersheypark,1991-05-11
Skyliner,Lakemont Park,1987
Sky Rocket,Kennywood,2010-06-29
Skyrush,Hersheypark,2012-05-26
Sooperdooperlooper,Hersheypark,1977-05-08
Steel Curtain,Kennywood,2019-07-13
Steel Dragon,Waldameer,2004-07-02
Steel Force,Dorney Park & Wildwater Kingdom,1997-05-30
Storm Runner,Hersheypark,2004-05-08
Talon,Dorney Park & Wildwater Kingdom,2001-05-05
Thunderbolt,Kennywood,1924
Thunderhawk,Dorney Park & Wildwater Kingdom,1924-03-30
Toboggan,Conneaut Lake Park,2002
Trailblazer,Hersheypark,1974-05-18
Twister,Knoebels Amusement Resort,1999-07-24
Vapor Trail,Sesame Place,1998
Wacky Worm,DelGrosso's Amusement Park,2004
Whirlwind,Waldameer,2020-07-03
Wildcat,Hersheypark,1996-05-26
Wild Mouse,Idlewild & SoakZone,1993-05-15
Wild Mouse,Hersheypark,1999-05-08
Wild Mouse,Dorney Park & Wildwater Kingdom,2000
Woodstock's Express,Dorney Park & Wildwater Kingdom,2000
